,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2016-01-22,-0.09615383652383414,-0.0932193581225279,-0.05229407661503449,-0.09504686792264394,-0.04603600944528119
2016-01-25,-0.10956699586908247,-0.1068014451839725,-0.05883317546239486,-0.10830630154203569,-0.04960917938371823
2016-01-26,-0.10155396750850465,-0.09668947233312708,-0.05094976177170574,-0.10034956761333225,-0.043576275490834426
2016-01-27,-0.1239391118008889,-0.11285811343176166,-0.057237016631070725,-0.12254952084101489,-0.04836848292021467
2016-01-28,-0.11157061064538376,-0.10428505556968282,-0.053752081157749654,-0.11027039288518126,-0.04539097435418338
2016-01-29,-0.09301828813551427,-0.08401515222168499,-0.03670331433691387,-0.09179121900518183,-0.030526948317065705
2016-02-01,-0.09057936930630683,-0.08294910258941945,-0.038091904308245716,-0.08939948285569865,-0.032322090325528685
2016-02-02,-0.11026384003988898,-0.10113753008344117,-0.041355004727195666,-0.10876716991930113,-0.030175801003912373
2016-02-03,-0.11453196587530978,-0.1005992085790044,-0.041087089251036546,-0.11306456846875068,-0.032047534096547925
2016-02-04,-0.11461909822312222,-0.09993835546003071,-0.038326572349749344,-0.11311006936621149,-0.028776294786326262
2016-02-05,-0.14536565719287164,-0.12413965919993075,-0.04886955774645829,-0.14360345799942809,-0.03643127493223397
2016-02-08,-0.15843071637025785,-0.13672936870883334,-0.048364156794818425,-0.1564015744069941,-0.030746652345265857
2016-02-09,-0.1610440429695531,-0.138046486920942,-0.04792822135626951,-0.15898663286392423,-0.030156686487296747
2016-02-10,-0.1578211476217265,-0.1367627433973494,-0.04506495265889354,-0.15571981985109773,-0.02579258216196556
2016-02-11,-0.1590406428049459,-0.14300228755774114,-0.04984312714853223,-0.15688303920639135,-0.027657662578903897
2016-02-12,-0.14623690913376608,-0.12764409155504963,-0.04439928272225846,-0.14429244600508073,-0.027650634476103053
2016-02-16,-0.12698738476693305,-0.11044773098448524,-0.03876227793342857,-0.1252657399132967,-0.026004715238497345
2016-02-17,-0.10721542399938133,-0.09310905432570982,-0.03170528171646725,-0.1056926756360348,-0.022207423963066075
2016-02-18,-0.11740647490634848,-0.1001423403994911,-0.02932250091901234,-0.11569950025692144,-0.017350806269005314
2016-02-19,-0.11479336291874731,-0.09902105922551119,-0.02926914411385184,-0.11310090975613973,-0.017094431113450437
2016-02-22,-0.10042189082202324,-0.08518472805542066,-0.0210435177490641,-0.0988412057271193,-0.011028783074580661
2016-02-23,-0.11522881004611618,-0.0984902359911255,-0.02687651149685044,-0.11350003862933855,-0.014394670753410388
2016-02-24,-0.10678019148370688,-0.09212364954231211,-0.024974938887879272,-0.10513296009369877,-0.013453269360776399
2016-02-25,-0.09798304353004728,-0.08215483254037614,-0.016492168389870332,-0.09637023069217887,-0.006165500297694693
2016-02-26,-0.09911519175375982,-0.08378697371312949,-0.021644373042202014,-0.09757548699518415,-0.012490792217422442
2016-02-29,-0.10721542399938133,-0.0914986624885249,-0.024537503056549004,-0.10557682791307077,-0.013560879321282582
2016-03-01,-0.07855925446758916,-0.0662404844825184,-0.017650272392344957,-0.0772864602707124,-0.012810957677355073
2016-03-02,-0.07821093968803305,-0.06396651014075072,-0.013380771420656523,-0.07690283408240772,-0.00858176746417827
2016-03-03,-0.07995301434643376,-0.06301646536096828,-0.009622096868459606,-0.07859611256121757,-0.004855082647188147
2016-03-04,-0.0796047711041088,-0.061315009619034244,-0.010229309187620661,-0.07830358754759059,-0.006946238525460946
2016-03-07,-0.08526651374391148,-0.06382733453666323,-0.00987819216290764,-0.08391877428887418,-0.006773131614273731
2016-03-08,-0.09284395190265737,-0.07281550399715786,-0.01198979631628394,-0.0913446323414755,-0.005538154282189622
2016-03-09,-0.08700823071615504,-0.06754322132990653,-0.011463546089305998,-0.08560581835348957,-0.006688560679253386
2016-03-10,-0.0884019190577684,-0.06788064789531245,-0.012609587003962752,-0.08702200782813174,-0.008591590707817454
2016-03-11,-0.07246249392380599,-0.052210603458061056,-0.007040220182647716,-0.07129328288429171,-0.006992111082746444
2016-03-14,-0.07089446934933652,-0.05201735342524694,-0.0065567705741294,-0.06971273438139591,-0.005829857256466786
2016-03-15,-0.07124314181504943,-0.05296750628854352,-0.007154771477462352,-0.0700513245728085,-0.0060344461743846445
2016-03-16,-0.06296843026210852,-0.046008392467748904,-0.002527207063595882,-0.06181935061631816,-0.0018268807520687158
2016-03-17,-0.06349115281175266,-0.04324843848839388,0.0,-0.06229723312408386,0.0
2016-03-18,-0.06202320882397383,-0.04061883064987426,0.0,-0.06082123269228423,0.0
2016-03-21,-0.058354135764072446,-0.03806169340182086,-0.002216878672197553,-0.057250159747208706,-0.0036089163083536935
2016-03-22,-0.05547125687696297,-0.036847744776427827,-0.002632303400582625,-0.054395178283285106,-0.003972203015028319
2016-03-23,-0.0632461377942991,-0.04399000120457952,-0.002063687552650184,-0.062006063341378814,-0.0006656308767331032
2016-03-24,-0.06298445460193591,-0.044068170896645054,-0.0021748588115582113,-0.06174358862925744,-0.0006487593471550257
2016-03-28,-0.06429473053176815,-0.044454136638700015,-0.0012969403518007239,-0.06303063974621026,0.0
2016-03-29,-0.04926869276797885,-0.03236242495896291,0.0,-0.04803735659111874,0.0
2016-03-30,-0.04463873161627252,-0.027883473468939046,-0.0015787420548181164,-0.04353787229229722,-0.0038681801868424293
2016-03-31,-0.046036354505611055,-0.02977399526600677,-0.00019949738209557033,-0.044861751608733846,-0.0010346905328437739
2016-04-01,-0.035902962607130884,-0.021316434990424904,0.0,-0.03478956903661112,0.0
2016-04-04,-0.03957196412980091,-0.024763175078098776,-0.0016978278162629312,-0.038422810685737496,-0.0011074706803274603
2016-04-05,-0.04883210104490776,-0.03433486064363156,-0.0033132375135600522,-0.04751048204582753,0.0
2016-04-06,-0.03319477763903467,-0.021124025549203118,0.0,-0.03206486423190791,0.0
2016-04-07,-0.047084875705848184,-0.03401229032995978,-0.002241382831120853,-0.04572939545099519,0.0
2016-04-08,-0.04778365138190199,-0.03306410231789625,-0.003150707313084644,-0.04647637737205279,-0.0023011710644479377
2016-04-11,-0.051277958985558536,-0.035972979268773186,-0.005067974091985117,-0.049953489459486966,-0.004059721703909336
2016-04-12,-0.04332831261197734,-0.027445111103123088,-0.0022554658135902628,-0.04212695638302577,-0.0037252140554516755
2016-04-13,-0.03109816446194802,-0.016316646453734318,0.0,-0.029965757543591987,0.0
2016-04-14,-0.03101088903967264,-0.016248602783979993,-0.001889160379961341,-0.02992242421042679,-0.002632767157614513
2016-04-15,-0.03345667544309183,-0.018034039495634535,0.0,-0.03227006141140942,0.0
2016-04-18,-0.028302704071576423,-0.011965872898295316,0.0,-0.027195371576113403,0.0
2016-04-19,-0.03424322730204066,-0.013427932929044983,0.0,-0.03310921811730816,-0.00033366887655650324
2016-04-20,-0.03345667544309183,-0.012556149484265755,-0.003828546288716872,-0.032427751398767635,-0.005995831669535101
2016-04-21,-0.03336954309527951,-0.015167032045964923,-0.009413277422602562,-0.032398557911158754,-0.01164748199802923
2016-04-22,-0.04795848837537797,-0.02259886609220718,-0.010429307989011538,-0.0468791649531729,-0.013071953428145044
2016-04-25,-0.04795848837537797,-0.023440837947483528,-0.013086570410697385,-0.046916885078333914,-0.016084232581085822
2016-04-26,-0.05258866413877872,-0.025089797568475736,-0.013997620220939422,-0.05154492989322135,-0.017911549209616906
2016-04-27,-0.060188779599870124,-0.027996906229039498,-0.008843712337424425,-0.058988022626461634,-0.01159785767162258
2016-04-28,-0.07154531508036954,-0.03828050370935987,-0.01260617018559873,-0.07021539882220162,-0.013351091613383548
2016-04-29,-0.07643746018505893,-0.04341031809613538,-0.014794608604641102,-0.07504704971020693,-0.014332423939800387
2016-05-02,-0.06770176271314887,-0.035084622838637225,-0.014063670110040949,-0.06646694459313052,-0.016325471820142212
2016-05-03,-0.07635018476278366,-0.04375901669997273,-0.014244959583979755,-0.07493680227725485,-0.013290491775509672
2016-05-04,-0.08229077953047903,-0.04950114852525911,-0.015381093606332552,-0.08078353129281424,-0.01275279141129615
2016-05-05,-0.08255310655792458,-0.04972971940661697,-0.01286334144270751,-0.08098671247035716,-0.009185515835097635
2016-05-06,-0.07766067530430953,-0.045457474753965554,-0.012384141715144681,-0.07616903056253388,-0.00990907721421852
2016-05-09,-0.075039980370183,-0.043707033605439705,-0.010652741914592201,-0.07354283145029972,-0.007818202326988932
2016-05-10,-0.06237273973646329,-0.031213524771798618,-0.003241714328530265,-0.06097310906885045,-0.002266746384816276
2016-05-11,-0.07084675401600993,-0.040122741142416984,-0.006581780696619632,-0.06933184204458975,-0.0033103017974381865
2016-05-12,-0.07495263341067615,-0.04210418714439956,-0.008220219356834924,-0.07344250355230553,-0.005703013020339931
2016-05-13,-0.07835945098036334,-0.04804169287832982,-0.009560135356360022,-0.07674308790226836,-0.004228929155727257
2016-05-16,-0.06682815004361897,-0.037390744169832235,-0.007111887599180355,-0.06537449441358367,-0.004589558122515269
