,Max Sharpe Portfolio,Min Volatility Portfolio
2018-06-29,-0.031153342236249326,-0.020369690578911137
2018-07-02,-0.02473248067024225,-0.01985216753475072
2018-07-03,-0.035861679921233236,-0.018502874736359587
2018-07-05,-0.023983044912025075,-0.013363472049820913
2018-07-06,-0.008916178521958806,-0.00784179201619739
2018-07-09,-0.000141322081755213,-0.007387877353479566
2018-07-10,0.0,-0.005842316340161191
2018-07-11,-0.004994486947876187,-0.006964595766359549
2018-07-12,0.0,-0.002978439598977922
2018-07-13,0.0,-0.0012300087888763578
2018-07-16,-0.002409461761753273,-0.003928763726889661
2018-07-17,0.0,-0.003164580857163757
2018-07-18,-0.001902887742366688,-0.00445066801106675
2018-07-19,-0.006789399802587193,-0.0026360358145020024
2018-07-20,-0.007123247127442389,-0.009916887812101538
2018-07-23,-0.004105587867188398,-0.01585538464531644
2018-07-24,-6.898812973887836e-06,-0.011772896240055286
2018-07-25,0.0,-0.008873432262103242
2018-07-26,-0.015019579327243293,-0.010991766223411914
2018-07-27,-0.02816965221099388,-0.013075236552312686
2018-07-30,-0.04179992170683067,-0.017264664785064165
2018-07-31,-0.03448922419560352,-0.012128021694096436
2018-08-01,-0.030933528182647052,-0.017311762222076754
2018-08-02,-0.017863046722180975,-0.014129584004083706
2018-08-03,-0.014836125367307051,-0.009531194561721357
2018-08-06,-0.009087420289600856,-0.007584272822319327
2018-08-07,-0.005558356118828156,-0.008975817893472238
2018-08-08,-0.004357888380282504,-0.00860463936421485
2018-08-09,-0.004876549006409103,-0.004588635153715659
2018-08-10,-0.012342342061875122,-0.003565717029031301
2018-08-13,-0.013447171406194225,-0.006370273691725381
2018-08-14,-0.007342587553091584,-0.0047729564193498275
2018-08-15,-0.019317671958661298,-0.004888045511583172
2018-08-16,-0.01611689381138115,-0.0013458624807551889
2018-08-17,-0.015886328378645342,0.0
2018-08-20,-0.016690221657863713,0.0
2018-08-21,-0.01314402243127799,-0.0008146178921371039
2018-08-22,-0.009316362063089612,0.0
2018-08-23,-0.01071131079353671,0.0
2018-08-24,-0.0015886826398058274,0.0
2018-08-27,0.0,0.0
2018-08-28,0.0,-0.0031062179392323808
2018-08-29,0.0,0.0
2018-08-30,-0.0017324299012740907,-0.0006149652183887744
2018-08-31,-0.0004815191959515186,-0.0018750204008367577
2018-09-04,-0.004777276502744288,-0.005840480098042167
2018-09-05,-0.017527355648673026,-0.008517139733998702
2018-09-06,-0.026191339232886857,-0.0078404974622307
2018-09-07,-0.029981323051287756,-0.013366274416042323
2018-09-10,-0.026712141525406574,-0.010580970087750718
2018-09-11,-0.019355415294706635,-0.01328643600656354
2018-09-12,-0.022196847661727803,-0.011895743231197575
2018-09-13,-0.011840126857125655,-0.008451685703734668
2018-09-14,-0.014746657999060164,-0.011006372194529601
2018-09-17,-0.028799062110137053,-0.013357126793728247
2018-09-18,-0.020936434186607067,-0.01667510631750535
2018-09-19,-0.021732111609474303,-0.019457902536342386
2018-09-20,-0.010976400214935733,-0.013392911113148886
2018-09-21,-0.016334627888223152,-0.014034444010207148
2018-09-24,-0.013651981537141755,-0.016886551542093398
2018-09-25,-0.012334582070070321,-0.01784993094003362
2018-09-26,-0.011581932000016781,-0.015335862541047796
2018-09-27,-0.0032895906576769773,-0.013727957558378079
2018-09-28,-0.0035261942125319745,-0.015122510269523604
2018-10-01,-0.001574125770619883,-0.017599340466239344
2018-10-02,-0.0037478974929903153,-0.014533113649031315
2018-10-03,-0.0028461806759423336,-0.023766928646265395
2018-10-04,-0.02186966331899054,-0.03100116746272452
2018-10-05,-0.03379166623228369,-0.03804217110076291
2018-10-08,-0.0396625485111084,-0.03984058355764286
2018-10-09,-0.03649362552001978,-0.03508154311831069
2018-10-10,-0.07849025231571805,-0.050194181397920645
2018-10-11,-0.08971616996632259,-0.05312843035684134
2018-10-12,-0.06465649252242955,-0.049063074774973514
2018-10-15,-0.07587239845474336,-0.05168657056014481
2018-10-16,-0.049222407950972435,-0.041226401270095026
2018-10-17,-0.04890306589263416,-0.0442965872547979
2018-10-18,-0.07074375322749393,-0.050656075665576505
2018-10-19,-0.07161306736632123,-0.05203927529112007
2018-10-22,-0.06689949353379432,-0.054618404483138594
2018-10-23,-0.07027488017287142,-0.05510590900060697
2018-10-24,-0.11235483414357739,-0.06396034781501236
2018-10-25,-0.08197659242915645,-0.058606968737427434
