,Strategy A,Strategy B,Strategy C
2024-05-10,-0.009677921461070493,-0.005511275268486826,-0.07880355802251326
2024-05-13,-0.0073930304257255886,-0.0042973513672402985,-0.07778888170634013
2024-05-14,-0.001008149937733016,0.0,-0.07316789760692655
2024-05-15,0.0,0.0,-0.06122226672778275
2024-05-16,-0.002031348394608723,-0.0020443876587699084,-0.06274802020828851
2024-05-17,-0.002517130795157252,-0.0015699283780769013,-0.06446590218220583
2024-05-20,0.0,0.0,-0.06492471141028977
2024-05-21,0.0,0.0,-0.06161956200494623
2024-05-22,-0.00019724633556039706,-0.0015382693928549518,-0.06278987997979246
2024-05-23,-0.004694855383711505,-0.007430575970588271,-0.06930922785574234
2024-05-24,0.0,0.0,-0.06451130805661953
2024-05-28,0.0,0.0,-0.06948344616540914
2024-05-29,-0.007048314925589105,-0.00702562008339469,-0.07789735654695695
2024-05-30,-0.017686160109386062,-0.0156381551977961,-0.07800262176658324
2024-05-31,-0.01951351095940701,-0.012070854496977867,-0.07045996164798007
2024-06-03,-0.014248987392849854,-0.009015834044462046,-0.06399124621737284
2024-06-04,-0.011551453490947883,-0.007106015906327645,-0.05898994531759372
2024-06-05,0.0,0.0,-0.049517582827602435
2024-06-06,-0.0003452486838849689,-0.0001818620497981982,-0.05009837300741671
2024-06-07,-0.001229769555322835,-0.0012320301629898944,-0.057761921708831876
2024-06-10,0.0,0.0,-0.0585277719401871
2024-06-11,0.0,0.0,-0.05327264656304598
2024-06-12,0.0,0.0,-0.04576188341079035
2024-06-13,0.0,0.0,-0.03899839669872751
2024-06-14,0.0,0.0,-0.035412792514502356
2024-06-17,0.0,0.0,-0.03463756526616946
2024-06-18,0.0,0.0,-0.029623053761779317
2024-06-20,-0.007707874610755949,-0.005212203029389739,-0.0337898778490624
2024-06-21,-0.01036654737018261,-0.007211685031600634,-0.034567053966617745
2024-06-24,-0.021633159623884124,-0.014476541933574283,-0.03488826762543973
2024-06-25,-0.010445012934736764,-0.0069440543774799135,-0.032003634038051065
2024-06-26,-0.008401538179410584,-0.005298846214948361,-0.03681006422854649
2024-06-27,-0.005841742205139111,-0.0032308587102028996,-0.03436863402971757
2024-06-28,-0.01100241094031229,-0.007779278582839666,-0.043835095411465796
2024-07-01,-0.00520187269451744,-0.003848504033440836,-0.049255349878850496
2024-07-02,0.0,0.0,-0.04245559230405649
2024-07-03,0.0,0.0,-0.034861281006182465
2024-07-05,0.0,0.0,-0.02832603743911144
2024-07-08,0.0,0.0,-0.026813387742828154
2024-07-09,0.0,0.0,-0.027966235301066678
2024-07-10,0.0,0.0,-0.020974187120928578
2024-07-11,-0.021930173496614858,-0.015276227401450182,-0.02223453368412498
2024-07-12,-0.01618410828749295,-0.009278110361483627,-0.01686173462119145
2024-07-15,-0.013539795058375437,-0.006584425708915376,-0.01976072924896266
2024-07-16,-0.013162097270623674,-0.0034486724520037537,-0.010741525733047763
2024-07-17,-0.04213060504098842,-0.025061959534425027,-0.018979875566210613
2024-07-18,-0.046663774678740944,-0.031114933205343642,-0.026502817476516283
2024-07-19,-0.05511362199194514,-0.03862581041558277,-0.032672890304449975
2024-07-22,-0.041037075934403866,-0.026508875337411753,-0.02781335632450843
